ID|CO(GT)|Season|PT08.S1(CO)|PT08.S2(NMHC)|PT08.S2_NMHC_to_PT08.S1_CO_Ratio|NMHC(GT)|NOx(GT)|PT08.S3(NOx)|NO2(GT)|PT08.S4(NO2)|PT08.S5(O3)|RH
21|0,8|Summer|973.0|802.0|0.8242548818088387|-200.0|74.0|806.0|70.0|1597.0|1139.0|51,5
22|1,6|Winter|1250.0|933.0|0.7464|-200.0|338.0|620.0|176.0|1144.0|1489.0|65,5
23|3,3|Winter|1284.0|1216.0|0.9470404984423676|-200.0|476.0|522.0|166.0|1545.0|1415.0|48,9
24|0,1|Spring|774.0|560.0|0.7235142118863049|-200.0|45.0|1386.0|51.0|1107.0|532.0|40,0
25|5|Fall|1465.0|1404.0|0.9583617747440273|-200.0|561.0|468.0|127.0|1962.0|1736.0|58,3
26|4,2|Spring|1435.0|1271.0|0.8857142857142857|585.0|300.0|676.0|130.0|1885.0|1569.0|54,2
27|-200|Fall|1310.0|1259.0|0.9610687022900763|-200.0|-200.0|620.0|-200.0|1926.0|1240.0|48,2
28|2,5|Summer|1024.0|1111.0|1.0849609375|-200.0|201.0|770.0|110.0|1753.0|1069.0|32,4
29|1,6|Summer||919.0|0.9144278606965174|-200.0|81.0|788.0|87.0|1543.0|871.0|30,9
30|2,6|Winter|1006.0|987.0|0.9811133200795229|-200.0|285.0|1028.0|124.0|1247.0|964.0|45,4
31|-200|Summer||899.0|0.865255052935515|-200.0|92.0|714.0|87.0|1717.0|914.0|51,5
32|-200|Summer|978.0|873.0|0.8926380368098159|-200.0|80.0|1003.0|53.0|1669.0|788.0|34,8
33|2,4|Summer||1128.0|0.9912126537785588|-200.0|133.0|681.0|110.0|1737.0|1490.0|29,9
34|-200|Spring|1147.0|821.0|0.7157802964254577|56.0|109.0|1132.0|83.0|1412.0|992.0|71,1
35|3,5|Winter||1212.0|0.9258976317799847|-200.0|737.0|1267.0|182.0|1533.0|1556.0|63,6
36|1|Fall|884.0|764.0|0.8642533936651584|-200.0|110.0|921.0|75.0|1247.0|900.0|58,9
37|0,8|Summer|957.0|816.0|0.8526645768025078|-200.0|-200.0|846.0|-200.0|1613.0|903.0|52,7
38|1|Fall|824.0|695.0|0.8434466019417476|-200.0|76.0|1091.0|34.0|1035.0|526.0|33,8
39|1|Summer||757.0|0.8969194312796208|-200.0|71.0|1186.0|67.0|1445.0|556.0|31,5
40|3|Fall|1269.0|1181.0|0.9306540583136328|-200.0|-200.0|559.0|-200.0|1756.0|1762.0|75,8
41|1,4|Spring|867.0|694.0|0.8004613610149942|-200.0|183.0|906.0|134.0|858.0|539.0|30,6
42|1,7|Spring|988.0|918.0|0.9291497975708503|-200.0|141.0|1007.0|94.0|1393.0|850.0|24,1
43||Fall||||||||||
44|1,5|Fall|972.0|799.0|0.8220164609053497|-200.0|199.0|833.0|72.0|1425.0|825.0|68,6
45|1,6|Summer|898.0|863.0|0.9610244988864143|-200.0|118.0|911.0|101.0|1493.0|777.0|39,4
46|4,9|Summer|1460.0|1493.0|1.0226027397260273|-200.0|277.0|586.0|222.0|2288.0|1649.0|23,4
47|1,8|Fall|1038.0|856.0|0.8246628131021194|-200.0|284.0|801.0|116.0|1415.0|905.0|76,3
48|1,2|Winter|911.0|683.0|0.7497255762897914|-200.0|188.0|981.0|135.0|790.0|558.0|23,5
49|1,2|Spring|960.0|828.0|0.8625|-200.0|55.0|971.0|54.0|1565.0|617.0|55,2
50|0,6|Summer|-200.0|-200.0|1.0|-200.0|23.0|-200.0|36.0|-200.0|-200.0|-200
51|0,5|Summer|843.0|655.0|0.7769869513641756|-200.0|-200.0|1046.0|-200.0|1377.0|826.0|36,0
52|0,5|Spring|841.0|713.0|0.8478002378121284|-200.0|84.0|1293.0|80.0|1356.0|559.0|43,9
53|1,9|Winter|1087.0|926.0|0.8518859245630175|-200.0|340.0|715.0|153.0|1053.0|1390.0|55,0
54|0,7|Spring|955.0|582.0|0.6094240837696335|-200.0|83.0|902.0|68.0|1118.0|611.0|72,4
55|3,7|Fall|1316.0|1298.0|0.986322188449848|-200.0|510.0|562.0|172.0|1888.0|1584.0|42,7
56|1,3|Spring|997.0|677.0|0.679037111334002|-200.0|-200.0|1252.0|-200.0|1359.0|591.0|55,1
57|1,1|Winter|941.0|800.0|0.8501594048884166|-200.0|157.0|823.0|115.0|917.0|671.0|30,6
58|-200|Summer|1012.0|982.0|0.9703557312252964|-200.0|184.0|882.0|73.0|1796.0|1024.0|67,6
59|-200|Spring|1163.0|930.0|0.7996560619088564|-200.0|-200.0|849.0|-200.0|1691.0|985.0|80,8
60|1,1|Summer|883.0|778.0|0.8810872027180068|-200.0|61.0|1130.0|57.0|1545.0|608.0|36,9
61|-200|Spring|1036.0|902.0|0.8706563706563707|-200.0|-200.0|825.0|-200.0|1558.0|1087.0|71,1
62|3,9|Fall|1252.0|1240.0|0.9904153354632588|-200.0|678.0|564.0|178.0|1614.0|1277.0|68,4
63|2,1|Summer|1230.0|1169.0|0.9504065040650407|-200.0|159.0|737.0|77.0|2020.0|1275.0|68,1
64|2,3|Winter|1032.0|952.0|0.9224806201550387|-200.0|449.0|833.0|166.0|1025.0|1198.0|44,7
65|0,7|Fall|865.0|745.0|0.861271676300578|-200.0|164.0|866.0|90.0|1394.0|901.0|56,9
66|5,9|Winter|1470.0|1584.0|1.0775510204081633|-200.0|771.0|436.0|195.0|1641.0|2033.0|36,2
67|-200|Fall|1113.0|1096.0|0.9847259658580413|-200.0|-200.0|635.0|-200.0|1636.0|1050.0|23,6
68|2|Spring|1169.0|850.0|0.7271171941830624|202.0|88.0|906.0|79.0|1584.0|873.0|73,5
69|6,6|Winter|1646.0|1570.0|0.9538274605103281|-200.0|964.0|401.0|154.0|2049.0|1846.0|73,6
70|-200|Fall|995.0|927.0|0.9316582914572864|-200.0|-200.0|825.0|-200.0|1320.0|718.0|35,7
71|0,5|Summer|790.0|590.0|0.7468354430379747|-200.0|-200.0|1122.0|-200.0|1257.0|493.0|44,8
72|-200|Spring|1160.0|860.0|0.7413793103448276|-200.0|-200.0|969.0|-200.0|1531.0|646.0|32,1
73|3,4|Fall|1316.0|1317.0|1.000759878419453|-200.0|607.0|538.0|85.0|1860.0|1336.0|72,8
74|1,3|Summer|920.0|875.0|0.9510869565217391|-200.0|75.0|915.0|80.0|1594.0|744.0|48,9
75|1,3|Spring|1040.0|705.0|0.6778846153846154|83.0|100.0|1149.0|91.0|1324.0|612.0|58,9
76|0,7|Fall|992.0|867.0|0.873991935483871|-200.0|256.0|876.0|133.0|997.0|1196.0|45,2
77|2,2|Winter|1214.0|1010.0|0.8319604612850082|-200.0|256.0|609.0|164.0|1282.0|1006.0|75,0
78|-200|Fall|723.0|485.0|0.6708160442600276|-200.0|-200.0|1419.0|-200.0|1065.0|425.0|57,1
79|1,4|Spring|907.0|753.0|0.8302094818081588|-200.0|313.0|886.0|167.0|819.0|682.0|26,8
80|2,5|Spring||1110.0|0.8944399677679291|-200.0|147.0|772.0|130.0|1698.0|1177.0|32,1
81|1,4|Summer|1031.0|929.0|0.9010669253152279|-200.0|79.0|759.0|77.0|1722.0|809.0|44,4
82|2|Summer|1017.0|1057.0|1.039331366764995|-200.0|122.0|859.0|112.0|1698.0|861.0|19,6
83|4,2|Spring|1360.0|1295.0|0.9522058823529411|-200.0|475.0|451.0|193.0|1639.0|1518.0|46,2
84|1,9|Fall|1073.0|1005.0|0.9366262814538676|-200.0|258.0|661.0|67.0|1488.0|1110.0|70,4
85|0,4|Summer|789.0|623.0|0.7896070975918885|-200.0|36.0|1146.0|53.0|1407.0|663.0|44,3
86|-200|Spring|1649.0|1633.0|0.9902971497877502|-200.0|-200.0|584.0|-200.0|2328.0|1745.0|33,7
87|2,8|Spring|1171.0|1006.0|0.8590947907771136|-200.0|156.0|835.0|112.0|1674.0|988.0|51,7
88|-200|Spring||1776.0|1.0289687137891077|-200.0|-200.0|478.0|-200.0|2684.0|1940.0|58,2
89|1,6|Spring|928.0|790.0|0.8512931034482759|-200.0|231.0|812.0|154.0|951.0|609.0|25,3
90|1|Fall|982.0|834.0|0.8492871690427699|-200.0|185.0|770.0|55.0|1435.0|911.0|69,2
91|1,2|Winter|976.0|870.0|0.8913934426229508|-200.0|221.0|795.0|152.0|971.0|861.0|42,5
92|-200|Fall||466.0|0.6418732782369146|-200.0|-200.0|1485.0|-200.0|1066.0|408.0|58,4
93|1|Summer|885.0|743.0|0.8395480225988701|-200.0|53.0|1016.0|81.0|1379.0|647.0|24,6
94|3,5|Fall||1273.0|0.9651250947687642|-200.0|492.0|511.0|87.0|1806.0|1444.0|73,4
95|2,5|Fall|1135.0|1170.0|1.0308370044052864|-200.0|429.0|867.0|144.0|1523.0|1189.0|18,9
96|-200|Summer||990.0|0.8714788732394366|-200.0|111.0|672.0|100.0|1807.0|918.0|45,0
97|2,2|Spring|1154.0|891.0|0.7720970537261699|-200.0|304.0|697.0|166.0|1197.0|1079.0|74,7
98|0,5|Summer|757.0|635.0|0.8388375165125496|-200.0|36.0|1445.0|45.0|1345.0|451.0|28,0
99|4,8|Fall|1315.0|1375.0|1.0456273764258555|-200.0|845.0|526.0|137.0|1576.0|1549.0|72,6
100|4,9|Winter|1516.0|1423.0|0.9386543535620053|-200.0|774.0|455.0|151.0|1881.0|1688.0|67,3
101|-200|Winter||623.0|0.6801310043668122|-200.0|-200.0|962.0|-200.0|1064.0|725.0|69,4
102|5,7|Spring|1673.0|1484.0|0.8870292887029289|-200.0|649.0|397.0|196.0|2008.0|1812.0|56,3
103|2,1|Spring|1141.0|1017.0|0.8913234005258545|-200.0|112.0|740.0|104.0|1690.0|1188.0|57,5
104|-200|Summer|957.0|766.0|0.800417972831766|-200.0|-200.0|929.0|-200.0|1380.0|516.0|24,3
105|0,4|Summer|746.0|624.0|0.8364611260053619|-200.0|8.0|1227.0|14.0|1209.0|410.0|18,4
106|1,5|Spring||760.0|0.7843137254901961|-200.0|81.0|1059.0|83.0|1518.0|560.0|79,8
107|0,6|Spring||834.0|0.8200589970501475|-200.0|61.0|986.0|59.0|1676.0|734.0|80,3
108|-200|Winter||656.0|0.7313266443701226|-200.0|-200.0|953.0|-200.0|964.0|641.0|44,1
109|2,2|Spring|1402.0|939.0|0.6697574893009985|88.0|131.0|1140.0|114.0|1555.0|1074.0|54,0
110|8|Spring|2040.0|1754.0|0.8598039215686275|685.0|404.0|542.0|187.0|2679.0|2122.0|42,5
111|2|Fall|1210.0|1188.0|0.9818181818181818|-200.0|305.0|583.0|75.0|1575.0|1129.0|70,1
112|0,4|Fall|789.0|515.0|0.6527249683143219|-200.0|-200.0|1276.0|-200.0|1054.0|516.0|67,6
113|-200|Fall|755.0|517.0|0.6847682119205298|-200.0|-200.0|1325.0|-200.0|1091.0|487.0|56,8
114|6,0|Spring|1508.0|1479.0|0.9807692307692307|-200.0|900.0|419.0|215.0|1685.0|2014.0|52,5
115|4,1|Fall|1376.0|1452.0|1.055232558139535|-200.0|531.0|521.0|108.0|2123.0|1541.0|68,9
116|1,7|Winter|965.0|733.0|0.7595854922279792|-200.0|225.0|909.0|93.0|1173.0|790.0|70,5
117|0,6|Spring|841.0|470.0|0.558858501783591|-200.0|-200.0|1311.0|-200.0|708.0|289.0|51,0
118|3,1|Fall|1225.0|1227.0|1.0016326530612245|-200.0|330.0|643.0|165.0|1774.0|1321.0|30,8
119|-200|Fall||1085.0|1.0168697282099344|-200.0|-200.0|684.0|-200.0|1548.0|985.0|40,4
120|-200,0|Winter|805.0|559.0|0.6944099378881987|-200.0|93.0|1183.0|75.0|781.0|466.0|41,7
121|-200|Summer|742.0|602.0|0.8113207547169812|-200.0|-200.0|1156.0|-200.0|1283.0|513.0|33,2
122|1,7|Spring|1238.0|940.0|0.7592891760904685|-200.0|95.0|815.0|103.0|1622.0|877.0|47,1
123|-200|Fall|1299.0|1237.0|0.9522709776751347|-200.0|-200.0|553.0|-200.0|1804.0|1350.0|69,2
124|2,5|Winter|1140.0|958.0|0.8403508771929824|-200.0|366.0|627.0|193.0|1175.0|1200.0|45,4
125|2,7|Spring|-200.0|-200.0|1.0|254.0|237.0|-200.0|122.0|-200.0|-200.0|-200
126|-200|Spring|1105.0|897.0|0.8117647058823529|-200.0|-200.0|906.0|-200.0|1510.0|1050.0|67,4
127|-200|Spring|881.0|546.0|0.619750283768445|-200.0|21.0|1335.0|28.0|1465.0|458.0|81,0
128|0,5|Fall|823.0|631.0|0.7667071688942891|-200.0|69.0|1090.0|47.0|1304.0|671.0|60,8
129|3,5|Spring|1410.0|1268.0|0.8992907801418439|-200.0|212.0|724.0|139.0|1957.0|1344.0|47,5
130|1,5|Spring|1001.0|811.0|0.8101898101898102|97.0|99.0|1097.0|91.0|1308.0|778.0|50,8
131|6|Winter|1628.0|1528.0|0.9385749385749386|-200.0|928.0|416.0|142.0|2081.0|1649.0|83,9
132|2,3|Summer|1220.0|1105.0|0.9057377049180327|-200.0|116.0|643.0|100.0|1838.0|1318.0|35,4
133|2,9|Winter|1173.0|1170.0|0.9974424552429667|-200.0|379.0|597.0|115.0|1551.0|1289.0|57,1
134|2,5|Spring|1173.0|985.0|0.8397271952259164|299.0|126.0|905.0|114.0|1477.0|802.0|31,3
135|0,7|Spring|958.0|601.0|0.627348643006263|-200.0|96.0|947.0|79.0|1054.0|659.0|61,2
136|1,2|Fall|996.0|710.0|0.7128514056224899|-200.0|124.0|1699.0|78.0|1182.0|783.0|59,7
137|0,3|Winter|871.0|638.0|0.7324913892078071|-200.0|219.0|1022.0|143.0|860.0|583.0|49,4
138|-200|Fall|1052.0|906.0|0.8612167300380228|-200.0|-200.0|832.0|-200.0|1516.0|803.0|33,6
139|3,4|Fall|1186.0|1125.0|0.948566610455312|-200.0|659.0|617.0|184.0|1493.0|1171.0|73,2
140|2|Spring|984.0|998.0|1.0142276422764227|-200.0|134.0|905.0|97.0|1523.0|862.0|23,6
141|2,1|Spring|1108.0|1040.0|0.9386281588447654|-200.0|145.0|767.0|95.0|1748.0|1051.0|44,1
142|3,8|Spring|1373.0|1252.0|0.9118718135469774|-200.0|205.0|670.0|154.0|1889.0|1325.0|36,5
143|2,3|Spring|1113.0|1086.0|0.9757412398921833|-200.0|138.0|882.0|119.0|1584.0|926.0|21,9
144|-200|Spring|1068.0|917.0|0.8586142322097379|-200.0|-200.0|889.0|-200.0|1570.0|832.0|55,0
145|2,0|Winter|1065.0|908.0|0.8525821596244132|-200.0|314.0|741.0|174.0|953.0|1284.0|31,8
146|0,9|Winter|932.0|642.0|0.6888412017167382|-200.0|-200.0|950.0|-200.0|871.0|1014.0|56,1
147|0,9|Fall|940.0|806.0|0.8574468085106383|-200.0|181.0|800.0|48.0|1392.0|1013.0|76,9
148|2,2|Winter|987.0|883.0|0.894630192502533|-200.0|343.0|913.0|144.0|949.0|1013.0|42,0
149|-200|Spring|857.0|653.0|0.7619603267211202|-200.0|-200.0|1197.0|-200.0|1375.0|779.0|71,0
150|2,5|Summer|1075.0|1079.0|1.003720930232558|-200.0|166.0|764.0|117.0|1798.0|1111.0|40,0
151|4,8|Winter|1596.0|1341.0|0.8402255639097744|-200.0|830.0|436.0|162.0|1672.0|1991.0|67,5
152|-200|Spring|1396.0|1296.0|0.9283667621776505|-200.0|-200.0|619.0|-200.0|1991.0|1628.0|50,2
153|0,6|Fall|881.0|647.0|0.7343927355278093|-200.0|-200.0|964.0|-200.0|1250.0|550.0|38,2
154|0,6|Fall|913.0|728.0|0.7973713033953997|-200.0|121.0|802.0|63.0|1418.0|887.0|66,8
155|1,4|Spring|1101.0|809.0|0.734786557674841|-200.0|224.0|690.0|150.0|1123.0|1201.0|52,2
156|1,1|Spring|983.0|688.0|0.6998982706002035|63.0|77.0|1251.0|62.0|1342.0|806.0|66,4
157|-200|Winter|950.0|622.0|0.6547368421052632|-200.0|89.0|960.0|67.0|1093.0|643.0|64,6
158|1,7|Summer|1081.0|938.0|0.8677150786308974|-200.0|80.0|728.0|87.0|1568.0|714.0|30,0
159|1,4|Winter|994.0|774.0|0.778672032193159|-200.0|239.0|854.0|168.0|917.0|915.0|40,2
160|1,3|Winter|1038.0|756.0|0.7283236994219653|-200.0|200.0|813.0|146.0|921.0|1317.0|49,4
161|1|Winter|918.0|704.0|0.7668845315904139|-200.0|-200.0|920.0|-200.0|1032.0|932.0|70,6
162|-200|Fall|1513.0|1601.0|1.0581625908790482|-200.0|-200.0|469.0|-200.0|2382.0|1743.0|55,4
163|2,7|Spring|1360.0|1063.0|0.7816176470588235|-200.0|387.0|507.0|183.0|1483.0|1420.0|53,0
164|4,3|Spring|1537.0|1374.0|0.8939492517891997|-200.0|564.0|384.0|158.0|1941.0|1660.0|67,8
165|6,3|Winter|1486.0|1289.0|0.8674293405114402|-200.0|607.0|466.0|283.0|1633.0|1438.0|79,8
166|0,3|Spring|837.0|518.0|0.6188769414575866|29.0|18.0|1581.0|29.0|1182.0|360.0|60,8
167|5,4|Spring|1319.0|1399.0|1.0606520090978013|-200.0|757.0|497.0|245.0|1458.0|1746.0|22,8
168|2,8|Fall|1109.0|1021.0|0.9206492335437331|-200.0|395.0|689.0|168.0|1361.0|1036.0|78,1
169|2,7|Spring|1234.0|985.0|0.7982171799027553|-200.0|158.0|815.0|122.0|1572.0|795.0|22,6
170|2,3|Fall|1001.0|1029.0|1.027972027972028|-200.0|342.0|733.0|127.0|1255.0|1034.0|48,4
171||Fall||||||||||
172|1,4|Summer|972.0|898.0|0.9238683127572016|-200.0|79.0|807.0|88.0|1508.0|879.0|32,1
173|2,8|Spring|1433.0|1104.0|0.7704117236566643|174.0|172.0|681.0|97.0|1876.0|1411.0|70,7
174|2,3|Winter|1059.0|905.0|0.8545797922568461|-200.0|356.0|735.0|179.0|1098.0|1130.0|52,8
175|-200|Summer|763.0|583.0|0.7640891218872871|-200.0|-200.0|1093.0|-200.0|1288.0|596.0|49,6
176|1,2|Summer|991.0|896.0|0.9041372351160444|-200.0|69.0|857.0|78.0|1616.0|926.0|38,9
177|-200|Summer|1054.0|936.0|0.888045540796964|-200.0|86.0|915.0|54.0|1791.0|962.0|49,0
178|-200|Fall|1228.0|1174.0|0.9560260586319218|-200.0|-200.0|668.0|-200.0|1788.0|1192.0|35,9
179|-200|Summer|760.0|505.0|0.6644736842105263|-200.0|-200.0|1527.0|-200.0|1413.0|452.0|77,2
180|0,6|Spring|919.0|661.0|0.719260065288357|-200.0|-200.0|1089.0|-200.0|1468.0|838.0|65,7
181|-200|Fall|1037.0|836.0|0.8061716489874639|-200.0|-200.0|788.0|-200.0|1467.0|904.0|63,2
182|-200|Winter|882.0|660.0|0.7482993197278912|-200.0|-200.0|991.0|-200.0|922.0|727.0|47,6
183|2,8|Winter|1243.0|1108.0|0.8913917940466614|-200.0|510.0|595.0|90.0|1539.0|1201.0|79,0
184|3,5|Winter|1579.0|1345.0|0.8518049398353388|-200.0|1028.0|459.0|230.0|1608.0|1961.0|71,0
185|0,6|Summer|869.0|614.0|0.7065592635212888|-200.0|-200.0|1001.0|-200.0|1565.0|674.0|63,5
186|1,7|Fall|856.0|821.0|0.9591121495327103|-200.0|239.0|937.0|111.0|1043.0|718.0|32,2
187|0,5|Spring|986.0|745.0|0.755578093306288|-200.0|61.0|959.0|66.0|1426.0|888.0|53,5
188|4|Summer|1195.0|1424.0|1.19163179916318|-200.0|260.0|609.0|119.0|2244.0|1489.0|39,9
189|1,3|Spring|894.0|737.0|0.8243847874720358|-200.0|278.0|913.0|158.0|805.0|604.0|25,7
190|1,8|Summer|1165.0|967.0|0.8300429184549356|-200.0|93.0|651.0|58.0|1825.0|1120.0|51,1
191|2,2|Winter|1139.0|879.0|0.771729587357331|-200.0|372.0|753.0|141.0|1092.0|1201.0|56,6
192|0,7|Winter|968.0|639.0|0.6601239669421488|-200.0|-200.0|891.0|-200.0|1080.0|794.0|67,1
193|3,2|Winter|1474.0|1268.0|0.8602442333785617|-200.0|583.0|502.0|136.0|1677.0|1503.0|67,6
194|4,8|Winter|1443.0|1323.0|0.9168399168399168|-200.0|757.0|486.0|115.0|1760.0|1487.0|78,0
195|9,1|Winter|-200.0|-200.0|1.0|-200.0|1253.0|-200.0|219.0|-200.0|-200.0|-200
196|1,8|Summer|1039.0|991.0|0.9538017324350336|-200.0|93.0|685.0|74.0|1820.0|1088.0|63,5
197|0,3|Winter|697.0|455.0|0.6527977044476327|-200.0|-200.0|1726.0|-200.0|698.0|318.0|37,6
198|0,9|Winter|904.0|633.0|0.7002212389380531|-200.0|137.0|993.0|103.0|897.0|717.0|60,5
199|1,8|Summer|1110.0|1021.0|0.9198198198198199|-200.0|119.0|820.0|96.0|1724.0|971.0|23,6
200|6,6|Fall|1702.0|1585.0|0.9312573443008225|-200.0|1188.0|422.0|183.0|1960.0|1967.0|76,2
201|1,2|Spring|1045.0|756.0|0.723444976076555|55.0|70.0|1137.0|85.0|1411.0|902.0|62,2
202|-200|Fall|789.0|604.0|0.7655259822560203|-200.0|-200.0|1181.0|-200.0|1171.0|467.0|62,1
203|-200|Spring|1545.0|1353.0|0.8757281553398059|-200.0|-200.0|767.0|-200.0|2058.0|1588.0|56,2
204|-200|Spring|949.0|841.0|0.8861959957850368|-200.0|-200.0|1155.0|-200.0|1393.0|954.0|39,3
205|2,8|Summer|1261.0|1258.0|0.9976209357652657|-200.0|179.0|629.0|170.0|1813.0|1315.0|14,8
206|-200|Winter|982.0|645.0|0.6568228105906314|-200.0|-200.0|922.0|-200.0|1107.0|708.0|83,0
207|0,5|Fall|748.0|595.0|0.7954545454545454|-200.0|107.0|1208.0|61.0|1089.0|677.0|59,8
208|2,2|Spring|1212.0|966.0|0.7970297029702971|-200.0|152.0|840.0|100.0|1691.0|1043.0|52,1
209|2,8|Spring|1444.0|1150.0|0.796398891966759|206.0|202.0|770.0|136.0|1727.0|1727.0|44,1
210|-200|Fall|890.0|666.0|0.748314606741573|-200.0|-200.0|969.0|-200.0|1323.0|728.0|68,6
211|2,6|Summer|1171.0|1129.0|0.964133219470538|-200.0|156.0|631.0|120.0|1911.0|1346.0|36,0
212|-200|Fall|1298.0|1015.0|0.7819722650231125|-200.0|-200.0|647.0|-200.0|1619.0|1056.0|51,9
213|0,6|Spring|981.0|610.0|0.6218144750254841|-200.0|145.0|867.0|88.0|1068.0|856.0|67,9
214|0,5|Fall|804.0|652.0|0.8109452736318408|-200.0|73.0|1054.0|37.0|1294.0|710.0|69,3
215|0,2|Fall|698.0|424.0|0.6074498567335244|-200.0|20.0|1665.0|18.0|903.0|339.0|50,9
216|-200|Fall|1202.0|1040.0|0.8652246256239601|-200.0|-200.0|815.0|-200.0|1506.0|886.0|27,3
217|1,3|Fall|967.0|814.0|0.8417786970010341|-200.0|-200.0|854.0|-200.0|1385.0|703.0|26,7
218|3|Winter|1232.0|1074.0|0.8717532467532467|-200.0|472.0|606.0|107.0|1504.0|1317.0|75,7
219|2,6|Winter|1211.0|998.0|0.82411230388109|-200.0|446.0|605.0|149.0|1298.0|1302.0|58,1
220|-200|Fall|1120.0|900.0|0.8035714285714286|-200.0|-200.0|811.0|-200.0|1462.0|1111.0|50,4
221|1,6|Winter|1086.0|901.0|0.8296500920810314|-200.0|343.0|715.0|103.0|1216.0|1055.0|76,8
222|4,6|Spring|1334.0|1174.0|0.8800599700149925|-200.0|744.0|524.0|216.0|1432.0|1643.0|60,9
223|2,3|Spring|1131.0|1059.0|0.9363395225464191|-200.0|132.0|772.0|100.0|1784.0|978.0|47,7
224|1,6|Winter|857.0|753.0|0.8786464410735122|-200.0|261.0|1034.0|116.0|860.0|754.0|24,0
225|2,1|Spring|1325.0|1010.0|0.7622641509433963|-200.0|322.0|513.0|106.0|1522.0|1404.0|65,0
226|0,8|Spring|923.0|596.0|0.6457204767063922|-200.0|103.0|908.0|72.0|1148.0|762.0|70,4
227|2,8|Fall|1126.0|1111.0|0.9866785079928952|-200.0|330.0|746.0|98.0|1473.0|1249.0|39,9
228|-200|Summer|1255.0|1164.0|0.9274900398406375|-200.0|127.0|638.0|126.0|1793.0|1301.0|26,3
229|1|Fall|931.0|679.0|0.7293233082706767|-200.0|151.0|947.0|66.0|1138.0|867.0|77,8
230|1,9|Spring|1122.0|897.0|0.7994652406417112|178.0|118.0|991.0|91.0|1372.0|831.0|26,5
231|2,6|Spring|1152.0|1062.0|0.921875|185.0|138.0|928.0|103.0|1606.0|850.0|28,5
232|-200|Summer|944.0|814.0|0.8622881355932204|-200.0|-200.0|852.0|-200.0|1489.0|554.0|23,6
233|0,3|Fall|752.0|521.0|0.6928191489361702|-200.0|32.0|1451.0|23.0|1247.0|471.0|61,9
234|0,7|Summer|-200.0|-200.0|1.0|-200.0|71.0|-200.0|53.0|-200.0|-200.0|-200
235|2,8|Summer|1245.0|1202.0|0.9654618473895582|-200.0|223.0|628.0|136.0|2039.0|1622.0|40,4
236|1,6|Spring|1083.0|727.0|0.6712834718374885|-200.0|203.0|763.0|130.0|1135.0|636.0|42,6
237|0,5|Winter|920.0|506.0|0.55|-200.0|61.0|1142.0|56.0|905.0|453.0|55,7
