ID|CO(GT)|Season|PT08.S1(CO)|PT08.S2(NMHC)|PT08.S2_NMHC_to_PT08.S1_CO_Ratio|NMHC(GT)|NOx(GT)|PT08.S3(NOx)|NO2(GT)|PT08.S4(NO2)|PT08.S5(O3)
52|4,7|Spring|1565.0|1324.0|0.8460063897763578|735.0|320.0|695.0|159.0|1872.0|1688.0
53|2,3|Summer|1355.0|1198.0|0.8841328413284133|-200.0|129.0|564.0|109.0|1905.0|1714.0
54|0,4|Spring|839.0|609.0|0.7258641239570918|-200.0|36.0|1276.0|59.0|1286.0|643.0
55|-200|Summer|870.0|637.0|0.732183908045977|-200.0|-200.0|947.0|-200.0|1445.0|716.0
56|6,2|Fall|1601.0|1727.0|1.0787008119925048|-200.0|725.0|389.0|118.0|2252.0|1718.0
57|4,6|Winter|1493.0|1399.0|0.9370395177494977|-200.0|618.0|466.0|150.0|1893.0|1708.0
58|2,1|Summer|1003.0|1047.0|1.0438683948155534|-200.0|120.0|769.0|120.0|1578.0|782.0
59|-200|Fall|1011.0|947.0|0.9366963402571711|-200.0|-200.0|759.0|-200.0|1425.0|953.0
60|2,8|Winter|-200.0|-200.0|1.0|-200.0|-200.0|-200.0|-200.0|-200.0|-200.0
61|1,5|Spring|988.0|803.0|0.812753036437247|118.0|123.0|1105.0|98.0|1293.0|658.0
62|1,7|Spring|1083.0|911.0|0.8411819021237303|-200.0|107.0|883.0|96.0|1507.0|985.0
63|-200|Spring|1136.0|792.0|0.6971830985915493|-200.0|-200.0|1057.0|-200.0|1476.0|536.0
64|1|Spring|-200.0|-200.0|1.0|87.0|97.0|-200.0|79.0|-200.0|-200.0
65|0,5|Summer|815.0|584.0|0.7165644171779141|-200.0|-200.0|1102.0|-200.0|1363.0|513.0
66|1,2|Spring|978.0|711.0|0.7269938650306749|75.0|48.0|1144.0|63.0|1304.0|750.0
67|4,1|Spring|1454.0|1299.0|0.8933975240715268|-200.0|863.0|457.0|150.0|1606.0|1673.0
68|0,5|Winter|801.0|454.0|0.5667915106117354|-200.0|51.0|1374.0|44.0|727.0|348.0
69|4,9|Winter|1557.0|1432.0|0.9197174052665382|-200.0|1022.0|445.0|234.0|1605.0|2068.0
70|-200|Spring|1055.0|964.0|0.9137440758293839|-200.0|-200.0|953.0|-200.0|1513.0|770.0
71|0,8|Winter|910.0|518.0|0.5692307692307692|-200.0|66.0|1130.0|59.0|936.0|404.0
72|-200|Fall|1463.0|1417.0|0.9685577580314423|-200.0|512.0|467.0|156.0|1900.0|1651.0
73|1|Spring|847.0|800.0|0.9445100354191264|-200.0|116.0|1155.0|90.0|1179.0|649.0
74|3,8|Fall|1362.0|1223.0|0.8979441997063142|-200.0|541.0|535.0|212.0|1597.0|1517.0
75|0,8|Fall|915.0|721.0|0.7879781420765027|-200.0|-200.0|891.0|-200.0|1315.0|816.0
76|1,7|Winter|1064.0|830.0|0.7800751879699248|-200.0|270.0|739.0|144.0|1053.0|1059.0
77|1,2|Spring|1080.0|732.0|0.6777777777777778|-200.0|142.0|748.0|111.0|1087.0|1093.0
78|0,5|Summer|851.0|551.0|0.6474735605170387|-200.0|30.0|1224.0|37.0|1443.0|463.0
79|3,1|Winter|1185.0|966.0|0.8151898734177215|-200.0|421.0|711.0|127.0|1250.0|1104.0
80|0,7|Spring|969.0|584.0|0.6026831785345718|-200.0|133.0|904.0|93.0|1021.0|899.0
81|0,7|Summer|888.0|683.0|0.7691441441441441|-200.0|66.0|1196.0|62.0|1483.0|563.0
82|-200|Winter|1199.0|1138.0|0.9491242702251876|-200.0|-200.0|581.0|-200.0|1452.0|1203.0
83|2,9|Summer|1083.0|1157.0|1.0683287165281625|-200.0|160.0|742.0|127.0|1884.0|1072.0
84|1,2|Spring|1033.0|759.0|0.7347531461761858|-200.0|154.0|735.0|117.0|1185.0|937.0
85|-200|Fall|930.0|660.0|0.7096774193548387|-200.0|-200.0|925.0|-200.0|1321.0|838.0
86|3,1|Winter|1235.0|1065.0|0.8623481781376519|-200.0|409.0|640.0|133.0|1213.0|1594.0
87|3,9|Winter|1438.0|1295.0|0.9005563282336578|-200.0|567.0|470.0|160.0|1620.0|1577.0
88|0,6|Winter|797.0|543.0|0.6813048933500627|-200.0|87.0|1235.0|60.0|1047.0|648.0
89|1,7|Fall|1058.0|898.0|0.8487712665406427|-200.0|-200.0|749.0|-200.0|1470.0|977.0
90|1|Summer|836.0|750.0|0.8971291866028708|-200.0|43.0|960.0|54.0|1390.0|484.0
91|0,2|Summer|719.0|522.0|0.7260083449235049|-200.0|24.0|1385.0|40.0|1343.0|509.0
92|1,8|Fall|1106.0|938.0|0.8481012658227848|-200.0|247.0|685.0|76.0|1395.0|1010.0
93|4,3|Summer|1373.0|1364.0|0.9934450109249818|-200.0|282.0|597.0|184.0|2005.0|1745.0
94|1,3|Fall|927.0|826.0|0.8910463861920173|-200.0|173.0|1021.0|94.0|1331.0|734.0
95|2,4|Winter|1006.0|1005.0|0.9990059642147118|-200.0|350.0|781.0|133.0|1071.0|1045.0
96|2,3|Fall|1185.0|1006.0|0.8489451476793249|-200.0|340.0|666.0|93.0|1638.0|1065.0
97|2,5|Summer|1146.0|1171.0|1.0218150087260034|-200.0|168.0|761.0|124.0|1902.0|1138.0
98|2,6|Fall|1297.0|1136.0|0.8758673862760216|-200.0|283.0|567.0|89.0|1725.0|1307.0
99|1,3|Spring|984.0|707.0|0.7184959349593496|70.0|71.0|1131.0|73.0|1359.0|494.0
100|1,1|Summer|1013.0|864.0|0.8529121421520237|-200.0|59.0|819.0|75.0|1544.0|644.0
101|-200,0|Winter|873.0|549.0|0.6288659793814433|-200.0|-200.0|1106.0|-200.0|1008.0|791.0
102|2,1|Winter|1137.0|856.0|0.752858399296394|-200.0|264.0|758.0|132.0|1032.0|1338.0
103|1,7|Fall|1014.0|843.0|0.8313609467455622|-200.0|279.0|791.0|116.0|1297.0|866.0
104|-200|Spring|1331.0|1046.0|0.7858752817430503|-200.0|-200.0|882.0|-200.0|1635.0|905.0
105|5,4|Winter|-200.0|-200.0|1.0|-200.0|1060.0|-200.0|186.0|-200.0|-200.0
106|2,8|Spring|1126.0|1083.0|0.9618117229129662|347.0|116.0|875.0|93.0|1654.0|955.0
107|1,6|Spring|1184.0|782.0|0.660472972972973|43.0|83.0|1176.0|82.0|1365.0|1043.0
108|-200|Fall|833.0|737.0|0.8847539015606243|-200.0|-200.0|1021.0|-200.0|1162.0|483.0
109|1,7|Spring|1141.0|904.0|0.7922874671340929|-200.0|226.0|646.0|126.0|1249.0|889.0
110|1,7|Summer|1144.0|1014.0|0.8863636363636364|-200.0|110.0|712.0|86.0|1744.0|1146.0
111|1,3|Winter|956.0|761.0|0.7960251046025104|-200.0|205.0|849.0|98.0|887.0|885.0
112|1|Fall|953.0|717.0|0.7523609653725079|-200.0|188.0|907.0|64.0|1152.0|911.0
113|-200|Spring|875.0|654.0|0.7474285714285714|-200.0|-200.0|1172.0|-200.0|1375.0|683.0
114|1,6|Spring|1020.0|797.0|0.7813725490196078|154.0|95.0|1066.0|99.0|1302.0|689.0
115|4,3|Spring|1403.0|1161.0|0.827512473271561|-200.0|614.0|487.0|178.0|1576.0|1583.0
116|2,9|Spring|1438.0|1161.0|0.8073713490959666|200.0|221.0|819.0|135.0|1782.0|1595.0
117|4,5|Fall|1392.0|1429.0|1.026580459770115|-200.0|581.0|469.0|93.0|1990.0|1494.0
118|2,4|Spring|1179.0|951.0|0.806615776081425|-200.0|129.0|826.0|84.0|1724.0|1323.0
119|1,2|Spring|1155.0|734.0|0.6354978354978355|-200.0|122.0|1062.0|91.0|1528.0|1035.0
120|-200|Spring|1512.0|1530.0|1.0119047619047619|-200.0|-200.0|527.0|-200.0|2326.0|1725.0
121|-200|Summer|1381.0|1454.0|1.052860246198407|-200.0|-200.0|455.0|-200.0|2404.0|1607.0
122|5,7|Winter|1500.0|1458.0|0.972|-200.0|847.0|428.0|197.0|1750.0|1776.0
123|0,1|Winter|1021.0|670.0|0.6562193927522038|-200.0|135.0|932.0|104.0|1187.0|828.0
124|2|Spring|1080.0|910.0|0.8425925925925926|-200.0|153.0|923.0|121.0|1548.0|929.0
125|-200|Summer|730.0|530.0|0.726027397260274|-200.0|-200.0|1517.0|-200.0|1362.0|445.0
126|1,3|Spring|1072.0|795.0|0.7416044776119403|88.0|84.0|986.0|93.0|1442.0|1048.0
127|0,4|Spring|949.0|607.0|0.6396206533192834|-200.0|105.0|884.0|74.0|1043.0|851.0
128|0,1|Spring|749.0|466.0|0.6221628838451269|-200.0|23.0|1803.0|29.0|1089.0|307.0
129|1|Summer|892.0|773.0|0.8665919282511211|-200.0|49.0|926.0|62.0|1660.0|724.0
130|3,5|Spring|1266.0|1138.0|0.8988941548183255|446.0|205.0|726.0|129.0|1747.0|1370.0
131|2,1|Spring|1242.0|1060.0|0.8534621578099839|-200.0|141.0|745.0|117.0|1693.0|1359.0
132|1,6|Winter|1120.0|770.0|0.6875|-200.0|-200.0|756.0|-200.0|1012.0|1191.0
133|3|Fall|1317.0|1295.0|0.9832953682611997|-200.0|891.0|593.0|172.0|1883.0|1592.0
134|0,8|Spring|870.0|626.0|0.7195402298850575|54.0|39.0|1325.0|52.0|1284.0|755.0
135|2,0|Winter|1008.0|861.0|0.8541666666666666|-200.0|331.0|839.0|160.0|977.0|943.0
136|1,1|Spring|1026.0|699.0|0.6812865497076024|59.0|-200.0|1191.0|-200.0|1292.0|851.0
137|3,3|Fall|1299.0|1220.0|0.939183987682833|-200.0|341.0|624.0|112.0|1929.0|1319.0
138|0,3|Spring|889.0|633.0|0.7120359955005624|-200.0|-200.0|1123.0|-200.0|1344.0|683.0
139|2,2|Spring|1233.0|1154.0|0.9359286293592863|-200.0|116.0|746.0|115.0|1740.0|1000.0
140|1,3|Fall|1062.0|915.0|0.8615819209039548|-200.0|232.0|792.0|83.0|1579.0|929.0
141|1,3|Spring|1128.0|742.0|0.6578014184397163|-200.0|48.0|1144.0|48.0|1507.0|610.0
142|1,4|Spring|1046.0|851.0|0.8135755258126195|-200.0|94.0|920.0|77.0|1595.0|908.0
143|3,1|Winter|1284.0|1204.0|0.9376947040498442|-200.0|552.0|599.0|167.0|1337.0|1531.0
144|-200,0|Spring|944.0|551.0|0.5836864406779662|-200.0|98.0|1063.0|68.0|985.0|381.0
145|2,4|Spring|1264.0|928.0|0.7341772151898734|237.0|132.0|884.0|102.0|1534.0|1035.0
146|0,5|Summer|842.0|640.0|0.7600950118764845|-200.0|40.0|1070.0|45.0|1293.0|595.0
147|2,3|Winter|-200.0|-200.0|1.0|-200.0|352.0|-200.0|96.0|-200.0|-200.0
148|2,4|Spring|1142.0|1053.0|0.9220665499124343|-200.0|136.0|753.0|105.0|1814.0|979.0
149|3,3|Winter|1488.0|1023.0|0.6875|-200.0|492.0|533.0|188.0|1456.0|1590.0
150|2,9|Summer|1276.0|1138.0|0.8918495297805643|-200.0|246.0|628.0|134.0|2021.0|1430.0
151|-200|Fall|1402.0|1213.0|0.8651925820256776|-200.0|-200.0|530.0|-200.0|1789.0|1348.0
152|2,7|Summer|1065.0|1198.0|1.1248826291079812|-200.0|169.0|766.0|137.0|1852.0|1043.0
153|3,3|Fall|1353.0|1265.0|0.9349593495934959|-200.0|523.0|507.0|91.0|1833.0|1475.0
154|1|Summer|-200.0|-200.0|1.0|-200.0|43.0|-200.0|59.0|-200.0|-200.0
155|2,1|Winter|1118.0|830.0|0.7423971377459749|-200.0|295.0|765.0|130.0|1058.0|1313.0
156|5,4|Fall|1422.0|1520.0|1.0689170182841068|-200.0|531.0|494.0|210.0|2087.0|1624.0
157|2,1|Spring|1156.0|1034.0|0.8944636678200693|-200.0|154.0|813.0|122.0|1640.0|1123.0
158|3,7|Spring|1408.0|1153.0|0.8188920454545454|239.0|295.0|830.0|119.0|1777.0|1411.0
159|2,6|Fall|703.0|685.0|0.9743954480796586|-200.0|215.0|1218.0|117.0|734.0|641.0
160|1,4|Winter|1061.0|800.0|0.7540056550424128|-200.0|200.0|819.0|106.0|1232.0|862.0
161|1,5|Summer|975.0|887.0|0.9097435897435897|-200.0|85.0|829.0|86.0|1478.0|737.0
162|1,4|Fall|1001.0|798.0|0.7972027972027972|-200.0|266.0|855.0|113.0|1257.0|794.0
163|0,9|Spring|979.0|707.0|0.7221654749744637|-200.0|235.0|851.0|120.0|959.0|1048.0
164|-200|Fall|979.0|1057.0|1.079673135852911|-200.0|-200.0|701.0|-200.0|1473.0|760.0
165|1,1|Summer|953.0|874.0|0.9171038824763903|-200.0|72.0|854.0|84.0|1528.0|899.0
166|3,5|Winter|1210.0|947.0|0.7826446280991736|-200.0|457.0|697.0|121.0|1404.0|1060.0
167|3,4|Fall|1278.0|1248.0|0.9765258215962441|-200.0|375.0|574.0|99.0|1814.0|1243.0
168|1,2|Summer|925.0|831.0|0.8983783783783784|-200.0|57.0|789.0|57.0|1662.0|975.0
169|1,5|Winter|1039.0|855.0|0.8229066410009624|-200.0|341.0|783.0|140.0|1025.0|1210.0
170|1,4|Spring|1055.0|693.0|0.656872037914692|-200.0|186.0|789.0|98.0|1203.0|598.0
171|1,3|Summer|942.0|846.0|0.8980891719745223|-200.0|78.0|980.0|92.0|1615.0|905.0
172|1,6|Winter|979.0|767.0|0.7834525025536262|-200.0|-200.0|827.0|-200.0|1041.0|908.0
173|2,2|Fall|990.0|891.0|0.9|-200.0|261.0|908.0|99.0|1278.0|765.0
174|1,9|Spring|1121.0|992.0|0.8849241748438894|-200.0|126.0|844.0|115.0|1505.0|1255.0
175|-200|Spring|958.0|907.0|0.9467640918580376|-200.0|-200.0|992.0|-200.0|1536.0|882.0
176|2,5|Spring|1311.0|1147.0|0.8749046529366895|305.0|166.0|681.0|86.0|1838.0|1351.0
177|2|Winter|1069.0|931.0|0.8709073900841908|-200.0|481.0|782.0|152.0|1054.0|1110.0
178|1,2|Summer|-200.0|-200.0|1.0|-200.0|54.0|-200.0|65.0|-200.0|-200.0
179|2,7|Fall|1248.0|1177.0|0.9431089743589743|-200.0|324.0|608.0|129.0|1784.0|1230.0
180|1,1|Winter|938.0|685.0|0.7302771855010661|-200.0|214.0|934.0|157.0|870.0|840.0
181|3|Winter|1124.0|1047.0|0.9314946619217082|-200.0|401.0|1401.0|126.0|1419.0|1193.0
182|1,2|Winter|973.0|748.0|0.7687564234326825|-200.0|190.0|878.0|97.0|968.0|991.0
183|0,3|Spring|1128.0|740.0|0.6560283687943262|-200.0|195.0|705.0|134.0|1113.0|1064.0
184|-200|Spring|1121.0|985.0|0.8786797502230151|-200.0|-200.0|833.0|-200.0|1625.0|981.0
185|2,9|Spring|1272.0|1220.0|0.9591194968553459|-200.0|417.0|533.0|188.0|1353.0|1251.0
186|-200|Fall|820.0|604.0|0.7365853658536585|-200.0|116.0|1127.0|80.0|874.0|847.0
187|1,3|Spring|1053.0|721.0|0.6847103513770181|-200.0|140.0|764.0|85.0|1216.0|617.0
188|1,4|Spring|996.0|781.0|0.7841365461847389|-200.0|177.0|806.0|124.0|985.0|631.0
189|3,6|Spring|1272.0|1136.0|0.8930817610062893|-200.0|209.0|730.0|139.0|1869.0|1077.0
190|-200,0|Winter|761.0|383.0|0.5032851511169514|-200.0|39.0|1745.0|35.0|787.0|289.0
191|1,3|Summer|923.0|862.0|0.933911159263272|-200.0|92.0|875.0|107.0|1363.0|626.0
192|3,9|Fall|1201.0|1196.0|0.9958368026644463|-200.0|573.0|597.0|187.0|1546.0|1196.0
193|2|Spring|1010.0|937.0|0.9277227722772278|-200.0|180.0|945.0|142.0|1444.0|949.0
194|3,5|Fall|1350.0|1299.0|0.9622222222222222|-200.0|602.0|518.0|132.0|1784.0|1560.0
195|1,6|Summer|1036.0|943.0|0.9102316602316602|-200.0|109.0|770.0|118.0|1509.0|770.0
196|1,9|Summer|949.0|1069.0|1.1264488935721813|-200.0|144.0|819.0|106.0|1547.0|905.0
197|0,8|Spring|978.0|635.0|0.6492842535787321|66.0|36.0|1188.0|51.0|1382.0|579.0
198|2,1|Summer|1029.0|993.0|0.9650145772594753|-200.0|124.0|816.0|114.0|1728.0|969.0
199|1,3|Spring|1073.0|746.0|0.6952469711090401|95.0|73.0|1072.0|84.0|1360.0|789.0
200|1,5|Winter|905.0|747.0|0.825414364640884|-200.0|223.0|924.0|139.0|850.0|691.0
201|3,1|Winter|1434.0|1093.0|0.7622036262203626|-200.0|335.0|561.0|168.0|1366.0|1893.0
202|5,6|Winter|1526.0|1492.0|0.9777195281782438|-200.0|716.0|428.0|166.0|1883.0|1770.0
203|1,4|Spring|1035.0|660.0|0.6376811594202898|69.0|96.0|1222.0|82.0|1301.0|533.0
204|0,7|Summer|853.0|626.0|0.7338804220398594|-200.0|22.0|1045.0|33.0|1557.0|516.0
205|-200|Fall|984.0|910.0|0.9247967479674797|-200.0|-200.0|795.0|-200.0|1348.0|875.0
206|2,3|Summer|1091.0|1082.0|0.9917506874427131|-200.0|210.0|746.0|119.0|1790.0|1221.0
207|0,6|Winter|849.0|522.0|0.6148409893992933|-200.0|56.0|1158.0|51.0|779.0|467.0
208|3,5|Winter|-200.0|-200.0|1.0|-200.0|763.0|-200.0|123.0|-200.0|-200.0
209|2,4|Spring|1223.0|1075.0|0.8789860997547015|308.0|164.0|818.0|112.0|1678.0|1198.0
210|1,3|Summer|960.0|798.0|0.83125|-200.0|73.0|854.0|84.0|1459.0|780.0
211|1,2|Fall|950.0|782.0|0.8231578947368421|-200.0|127.0|862.0|69.0|1331.0|807.0
212|1,3|Fall|1285.0|1037.0|0.8070038910505837|-200.0|370.0|610.0|121.0|1277.0|1751.0
213|3|Fall|1200.0|1246.0|1.0383333333333333|-200.0|553.0|798.0|136.0|1574.0|1416.0
214|-200|Spring|1074.0|731.0|0.680633147113594|-200.0|-200.0|1020.0|-200.0|1488.0|891.0
215|2,5|Winter|-200.0|-200.0|1.0|-200.0|341.0|-200.0|112.0|-200.0|-200.0
216|1,6|Spring|1020.0|866.0|0.8490196078431372|-200.0|139.0|907.0|90.0|1554.0|799.0
217|0,4|Winter|790.0|431.0|0.5455696202531646|-200.0|53.0|1439.0|49.0|722.0|354.0
218|3,5|Winter|1293.0|1153.0|0.8917246713070379|-200.0|584.0|602.0|283.0|1141.0|1667.0
219|2,5|Winter|1141.0|940.0|0.8238387379491674|-200.0|399.0|651.0|231.0|1099.0|1285.0
220|7,8|Winter|1713.0|1699.0|0.9918272037361354|-200.0|1020.0|371.0|161.0|2196.0|1943.0
221|3,2|Winter|-200.0|-200.0|1.0|-200.0|407.0|-200.0|138.0|-200.0|-200.0
222|5,8|Winter|1527.0|1502.0|0.9836280288146693|-200.0|-200.0|411.0|-200.0|1868.0|1727.0
223|0,9|Winter|1042.0|701.0|0.6727447216890595|-200.0|208.0|795.0|114.0|945.0|1216.0
224|1,5|Summer|962.0|858.0|0.8918918918918919|-200.0|118.0|941.0|84.0|1613.0|779.0
225|2,9|Winter|1217.0|1037.0|0.8520953163516845|-200.0|443.0|669.0|138.0|1167.0|1452.0
226|2,9|Winter|1286.0|996.0|0.7744945567651633|-200.0|473.0|644.0|167.0|1217.0|1827.0
227|-200|Winter|938.0|729.0|0.7771855010660981|-200.0|-200.0|874.0|-200.0|1060.0|702.0
228|-200|Spring|1032.0|895.0|0.8672480620155039|-200.0|-200.0|921.0|-200.0|1508.0|879.0
229|1,4|Fall|1055.0|895.0|0.8483412322274881|-200.0|175.0|758.0|79.0|1468.0|1043.0
230|3,3|Spring|1364.0|1202.0|0.8812316715542522|-200.0|198.0|771.0|135.0|1875.0|1250.0
231|1,0|Spring|1049.0|686.0|0.6539561487130601|-200.0|156.0|793.0|96.0|1159.0|795.0
232|1,8|Summer|1142.0|1021.0|0.8940455341506129|-200.0|132.0|712.0|120.0|1670.0|1159.0
233|0,7|Summer|831.0|676.0|0.8134777376654633|-200.0|37.0|1041.0|49.0|1350.0|463.0
234|2,2|Winter|1183.0|1013.0|0.8562975486052409|-200.0|310.0|632.0|128.0|1306.0|1186.0
235|1,6|Winter|1395.0|1131.0|0.810752688172043|-200.0|811.0|552.0|216.0|1362.0|1553.0
236|-200,0|Spring|872.0|558.0|0.6399082568807339|-200.0|114.0|1054.0|101.0|807.0|853.0
237|0,4|Spring|1096.0|788.0|0.718978102189781|-200.0|191.0|699.0|114.0|1115.0|583.0
238|3,5|Fall|1333.0|1201.0|0.9009752438109527|-200.0|353.0|552.0|68.0|1767.0|1925.0
239|0,6|Summer|936.0|713.0|0.7617521367521367|-200.0|21.0|883.0|26.0|1584.0|723.0
240|0,2|Winter|918.0|729.0|0.7941176470588235|-200.0|176.0|904.0|114.0|1014.0|639.0
241|3,7|Winter|1386.0|1158.0|0.8354978354978355|-200.0|528.0|518.0|143.0|1485.0|1553.0
242|0,8|Fall|956.0|794.0|0.8305439330543933|-200.0|144.0|896.0|68.0|1456.0|1007.0
243|3,2|Fall|1361.0|1238.0|0.9096252755326966|-200.0|344.0|548.0|98.0|1805.0|1368.0
244|-200|Summer|1221.0|1293.0|1.058968058968059|-200.0|248.0|688.0|74.0|2144.0|1316.0
245|3,5|Winter|-200.0|-200.0|1.0|-200.0|521.0|-200.0|164.0|-200.0|-200.0
246|-200|Spring|1032.0|721.0|0.6986434108527132|-200.0|-200.0|1052.0|-200.0|1546.0|663.0
247|3,4|Spring|1469.0|1252.0|0.852280462899932|372.0|255.0|692.0|155.0|1903.0|1807.0
248|1,7|Spring|1233.0|827.0|0.6707218167072182|77.0|112.0|1218.0|98.0|1446.0|860.0
249|2,8|Spring|1496.0|1205.0|0.80548128342246|-200.0|172.0|822.0|169.0|1767.0|1347.0
250|-200|Winter|1046.0|724.0|0.6921606118546845|-200.0|-200.0|848.0|-200.0|898.0|1201.0
251|1,5|Winter|1059.0|773.0|0.7299338999055713|-200.0|233.0|767.0|157.0|1127.0|984.0
